"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","3","","Busy Book DataAccess Unit Tests","","UnitTests.UnitTestsDA.BusyBookDAUnitTests","UnitTests.UnitTestsDA.BusyBookDAUnitTests.TestAddBusyBook","UnitTests.UnitTestsDA.BusyBookDAUnitTests.TestAddBusyBook",""
"passed","Tue Dec 12 00:00:56 MSK 2023","Tue Dec 12 00:00:56 MSK 2023","2","","Place Book Services Unit Tests","","UnitTests.UnitTestsBL.Mock.PlaceBookServicesMock","UnitTests.UnitTestsBL.Mock.PlaceBookServicesMock.TestPlaceBookGetAll","UnitTests.UnitTestsBL.Mock.PlaceBookServicesMock.TestPlaceBookGetAll",""
"passed","Tue Dec 12 00:00:56 MSK 2023","Tue Dec 12 00:00:56 MSK 2023","3","","Account Services Unit Tests","","UnitTests.UnitTestsBL.Mock.AccountServicesMock","UnitTests.UnitTestsBL.Mock.AccountServicesMock.TestDeleteAccount","UnitTests.UnitTestsBL.Mock.AccountServicesMock.TestDeleteAccount",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","4","","Book DataAccess Unit Tests","","UnitTests.UnitTestsDA.BookDAUnitTests","UnitTests.UnitTestsDA.BookDAUnitTests.TestGetIdBook","UnitTests.UnitTestsDA.BookDAUnitTests.TestGetIdBook",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","7","","Bookstore DataAccess Unit Tests","","UnitTests.UnitTestsDA.BookstoreDaUnitTests","UnitTests.UnitTestsDA.BookstoreDaUnitTests.TestDeleteBookstore","UnitTests.UnitTestsDA.BookstoreDaUnitTests.TestDeleteBookstore",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","5","","Book DataAccess Unit Tests","","UnitTests.UnitTestsDA.BookDAUnitTests","UnitTests.UnitTestsDA.BookDAUnitTests.TestGetBook","UnitTests.UnitTestsDA.BookDAUnitTests.TestGetBook",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","4","","Busy Book DataAccess Unit Tests","","UnitTests.UnitTestsDA.BusyBookDAUnitTests","UnitTests.UnitTestsDA.BusyBookDAUnitTests.TestGetIdBusyBookByBook","UnitTests.UnitTestsDA.BusyBookDAUnitTests.TestGetIdBusyBookByBook",""
"passed","Tue Dec 12 00:00:56 MSK 2023","Tue Dec 12 00:00:56 MSK 2023","1","","Account Services Unit Tests","","UnitTests.UnitTestsBL.Mock.AccountServicesMock","UnitTests.UnitTestsBL.Mock.AccountServicesMock.TestAddExistsAccount","UnitTests.UnitTestsBL.Mock.AccountServicesMock.TestAddExistsAccount",""
"passed","Tue Dec 12 00:00:56 MSK 2023","Tue Dec 12 00:00:56 MSK 2023","23","","Bookstore Services Unit Tests","","UnitTests.UnitTestsBL.Mock.BookstoreServicesMock","UnitTests.UnitTestsBL.Mock.BookstoreServicesMock.TestAddBookstore","UnitTests.UnitTestsBL.Mock.BookstoreServicesMock.TestAddBookstore",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","0","","Busy Book DataAccess Unit Tests","","UnitTests.UnitTestsDA.BusyBookDAUnitTests","UnitTests.UnitTestsDA.BusyBookDAUnitTests.TestGetAllBusyBook","UnitTests.UnitTestsDA.BusyBookDAUnitTests.TestGetAllBusyBook",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","3","","Account DataAccess Unit Tests","","UnitTests.UnitTestsDA.AccountDAUnitTests","UnitTests.UnitTestsDA.AccountDAUnitTests.TestAddAccount","UnitTests.UnitTestsDA.AccountDAUnitTests.TestAddAccount",""
"passed","Tue Dec 12 00:00:56 MSK 2023","Tue Dec 12 00:00:56 MSK 2023","2","","Bookstore Services Unit Tests","","UnitTests.UnitTestsBL.Mock.BookstoreServicesMock","UnitTests.UnitTestsBL.Mock.BookstoreServicesMock.TestFailAddBookstore","UnitTests.UnitTestsBL.Mock.BookstoreServicesMock.TestFailAddBookstore",""
"passed","Tue Dec 12 00:00:56 MSK 2023","Tue Dec 12 00:00:56 MSK 2023","3","","Book Services Unit Tests","","UnitTests.UnitTestsBL.Mock.BookServicesMock","UnitTests.UnitTestsBL.Mock.BookServicesMock.TestDeleteBook","UnitTests.UnitTestsBL.Mock.BookServicesMock.TestDeleteBook",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","6","","Place Book DataAccess Unit Tests","","UnitTests.UnitTestsDA.PlaceBookDAUnitTests","UnitTests.UnitTestsDA.PlaceBookDAUnitTests.TestDeletePlaceBook","UnitTests.UnitTestsDA.PlaceBookDAUnitTests.TestDeletePlaceBook",""
"passed","Tue Dec 12 00:00:56 MSK 2023","Tue Dec 12 00:00:56 MSK 2023","83","","Busy Book Services Unit Tests","","UnitTests.UnitTestsBL.Mock.BusyBookServicesMock","UnitTests.UnitTestsBL.Mock.BusyBookServicesMock.TestGetBusyBook","UnitTests.UnitTestsBL.Mock.BusyBookServicesMock.TestGetBusyBook",""
"passed","Tue Dec 12 00:00:56 MSK 2023","Tue Dec 12 00:00:56 MSK 2023","133","","Book Services Unit Tests","","UnitTests.UnitTestsBL.Mock.BookServicesMock","UnitTests.UnitTestsBL.Mock.BookServicesMock.TestAddBook","UnitTests.UnitTestsBL.Mock.BookServicesMock.TestAddBook",""
"passed","Tue Dec 12 00:00:56 MSK 2023","Tue Dec 12 00:00:56 MSK 2023","2","","Book Services Unit Tests","","UnitTests.UnitTestsBL.Mock.BookServicesMock","UnitTests.UnitTestsBL.Mock.BookServicesMock.TestBookGetAll","UnitTests.UnitTestsBL.Mock.BookServicesMock.TestBookGetAll",""
"passed","Tue Dec 12 00:00:56 MSK 2023","Tue Dec 12 00:00:56 MSK 2023","3","","Bookstore Services Unit Tests","","UnitTests.UnitTestsBL.Mock.BookstoreServicesMock","UnitTests.UnitTestsBL.Mock.BookstoreServicesMock.TestGetBookstore","UnitTests.UnitTestsBL.Mock.BookstoreServicesMock.TestGetBookstore",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","0","","Bookstore DataAccess Unit Tests","","UnitTests.UnitTestsDA.BookstoreDaUnitTests","UnitTests.UnitTestsDA.BookstoreDaUnitTests.TestGetAllBookstore","UnitTests.UnitTestsDA.BookstoreDaUnitTests.TestGetAllBookstore",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","1","","Bookstore DataAccess Unit Tests","","UnitTests.UnitTestsDA.BookstoreDaUnitTests","UnitTests.UnitTestsDA.BookstoreDaUnitTests.TestGetIdBookstoreByBook","UnitTests.UnitTestsDA.BookstoreDaUnitTests.TestGetIdBookstoreByBook",""
"passed","Tue Dec 12 00:00:56 MSK 2023","Tue Dec 12 00:00:56 MSK 2023","2","","Book Services Unit Tests","","UnitTests.UnitTestsBL.Mock.BookServicesMock","UnitTests.UnitTestsBL.Mock.BookServicesMock.TestGetBook","UnitTests.UnitTestsBL.Mock.BookServicesMock.TestGetBook",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","2","","Book DataAccess Unit Tests","","UnitTests.UnitTestsDA.BookDAUnitTests","UnitTests.UnitTestsDA.BookDAUnitTests.TestGetAllBook","UnitTests.UnitTestsDA.BookDAUnitTests.TestGetAllBook",""
